run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
5,1000,fixed-ref,sax,copy,288477,658885,0,0,79945,105259,369167,804975
6,1000,stod-copy,dom,direct,442905,1372223,188697,371030,254278,601611,891125,2161872
6,1000,fixed-ref,sax,direct,340214,744904,0,0,95255,189783,437306,1057350
6,1000,stod-ref,dom,direct,454028,1585947,190297,513127,263220,1015124,908298,2465530
6,1000,fixed-ref,dom,direct,482902,1519485,51764,111140,273722,504140,810952,1978278
6,1000,fixed-ref,sax,copy,316077,727161,0,0,87667,167141,404083,1107996
7,1000,stod-copy,dom,direct,392725,913597,167940,330716,222175,750746,785314,1949632
7,1000,fixed-ref,sax,direct,314265,750857,0,0,89399,155490,404434,1041155
7,1000,stod-ref,dom,direct,428435,1374497,179170,472866,244725,748886,860165,2039331
7,1000,fixed-ref,dom,direct,425145,887597,44129,70988,237041,532958,709253,1831960
7,1000,fixed-ref,sax,copy,331962,580338,0,0,93528,157436,426886,757922
8,1000,stod-copy,dom,direct,413265,1007379,174049,376226,235981,582569,828902,2033768
8,1000,fixed-ref,sax,direct,308487,639721,0,0,85852,140544,394947,873857
8,1000,stod-ref,dom,direct,458305,1198348,191406,402071,261793,588260,918047,2084895
8,1000,fixed-ref,dom,direct,407393,1151589,43072,66569,228815,557865,681509,1625849
8,1000,fixed-ref,sax,copy,325143,824833,0,0,90860,152628,417838,1042744
9,1000,stod-copy,dom,direct,450918,1187483,191125,349240,257981,762943,903352,1985256
9,1000,fixed-ref,sax,direct,292194,770346,0,0,82076,113817,374612,864973
9,1000,stod-ref,dom,direct,451409,1029883,191143,324848,256343,547781,904195,1880720
9,1000,fixed-ref,dom,direct,422164,894395,45179,70966,241091,474170,711864,1585000
9,1000,fixed-ref,sax,copy,292611,681975,0,0,81563,139765,374522,1285971
10,1000,stod-copy,dom,direct,452811,994815,192717,393580,259792,644391,911413,1959200
10,1000,fixed-ref,sax,direct,315039,805166,0,0,87674,158159,401217,1077022
10,1000,stod-ref,dom,direct,440837,1070965,179145,376947,252670,659479,876757,1787385
10,1000,fixed-ref,dom,direct,441383,1164064,47974,81045,253799,683398,745520,1812586
10,1000,fixed-ref,sax,copy,314244,620762,0,0,87430,158201,402282,836193
11,1000,stod-copy,dom,direct,421843,1104149,179306,333144,240271,562947,844030,1981820
11,1000,fixed-ref,sax,direct,332451,820410,0,0,92714,160806,427273,1020077
11,1000,stod-ref,dom,direct,427160,1225814,176466,498565,241783,646587,849988,2175309
11,1000,fixed-ref,dom,direct,448908,966106,47976,75278,254087,632867,753928,1824332
11,1000,fixed-ref,sax,copy,331520,746420,0,0,93044,233851,425435,977832
12,1000,stod-copy,dom,direct,421534,1169675,179454,402518,240315,508588,846197,1846201
12,1000,fixed-ref,sax,direct,311461,769356,0,0,87817,163395,400641,987149
12,1000,stod-ref,dom,direct,433250,900580,176169,273101,245251,460335,858308,1977669
12,1000,fixed-ref,dom,direct,475119,1243812,50262,109902,268833,621785,799236,2062807
12,1000,fixed-ref,sax,copy,306850,701290,0,0,85123,139053,392699,906502
13,1000,stod-copy,dom,direct,411103,955448,177305,253435,234884,720772,829419,1895210
13,1000,fixed-ref,sax,direct,292334,598579,0,0,81680,135991,375091,767627
13,1000,stod-ref,dom,direct,456698,1235070,192168,369933,259112,525539,915606,2165194
13,1000,fixed-ref,dom,direct,440037,1008376,46785,96203,250146,745491,738905,1646118
13,1000,fixed-ref,sax,copy,303854,747421,0,0,84941,146889,389154,868878
14,1000,stod-copy,dom,direct,411316,915528,175924,380976,235873,522810,826797,1849486
14,1000,fixed-ref,sax,direct,324460,682662,0,0,92197,158498,416145,878079
14,1000,stod-ref,dom,direct,435001,991635,181482,338223,253755,610761,871893,2071802
14,1000,fixed-ref,dom,direct,454580,999888,48515,96441,258035,482715,765411,1779071
14,1000,fixed-ref,sax,copy,392724,1145901,0,0,110295,308432,503419,1424008
15,1000,stod-copy,dom,direct,614657,1772140,259326,679520,352422,944214,1235668,2717588
15,1000,fixed-ref,sax,direct,402272,983662,0,0,115137,242300,517721,1394330
15,1000,stod-ref,dom,direct,440310,1382795,187861,484518,249269,372127,879489,1913942
15,1000,fixed-ref,dom,direct,473417,1431016,51183,93687,268558,728097,797989,1887550
15,1000,fixed-ref,sax,copy,313298,645254,0,0,87507,127372,401655,750543
