run,levels,conversion,parser,input,parse_p50_ns,parse_p99_ns,convert_p50_ns,convert_p99_ns,apply_p50_ns,apply_p99_ns,total_p50_ns,total_p99_ns
8,4,stod-copy,dom,direct,2814,4696,1093,1782,974,1728,4892,8702
8,4,fixed-ref,sax,direct,1765,2801,0,0,223,386,1993,3177
8,4,stod-ref,dom,direct,2607,4986,973,1981,913,1858,4497,9018
8,4,fixed-ref,dom,direct,2716,5069,329,703,943,1988,3994,7752
8,4,fixed-ref,sax,copy,1883,3447,0,0,254,477,2132,3884
9,4,stod-copy,dom,direct,3224,5957,1261,2409,1120,2235,5618,11497
9,4,fixed-ref,sax,direct,2078,4064,0,0,283,547,2347,4592
9,4,stod-ref,dom,direct,3106,6468,1162,2345,1090,2363,5367,12396
9,4,fixed-ref,dom,direct,2731,4539,332,640,946,1679,4006,6987
9,4,fixed-ref,sax,copy,1650,2743,0,0,215,342,1864,3085
10,4,stod-copy,dom,direct,2379,4122,928,1584,830,1577,4147,7728
10,4,fixed-ref,sax,direct,1615,2892,0,0,212,390,1819,3281
10,4,stod-ref,dom,direct,2473,5212,936,1819,866,1734,4279,11813
10,4,fixed-ref,dom,direct,2366,3576,288,453,828,1286,3483,5537
10,4,fixed-ref,sax,copy,1526,3121,0,0,207,400,1719,3512
11,4,stod-copy,dom,direct,2926,5371,1141,2269,1022,2060,5096,9764
11,4,fixed-ref,sax,direct,1904,2917,0,0,241,390,2152,3328
11,4,stod-ref,dom,direct,2810,6492,1046,2171,988,2289,4842,15855
11,4,fixed-ref,dom,direct,3040,5523,367,843,1050,2070,4461,8745
11,4,fixed-ref,sax,copy,2022,3422,0,0,252,445,2284,3873
12,4,stod-copy,dom,direct,2725,5118,1048,2092,949,1921,4721,9124
12,4,fixed-ref,sax,direct,1679,2762,0,0,207,351,1900,3118
12,4,stod-ref,dom,direct,2536,4113,957,1552,886,1562,4388,7472
12,4,fixed-ref,dom,direct,2467,4755,301,602,854,1735,3615,7351
12,4,fixed-ref,sax,copy,1968,3545,0,0,259,464,2225,3979
13,4,stod-copy,dom,direct,2690,4267,1050,1615,940,1605,4685,7787
13,4,fixed-ref,sax,direct,1560,2667,0,0,193,352,1762,3007
13,4,stod-ref,dom,direct,2333,5063,875,1840,821,1870,4031,9223
13,4,fixed-ref,dom,direct,2952,5651,359,791,1025,2051,4339,9027
13,4,fixed-ref,sax,copy,1941,3475,0,0,257,487,2195,3939
14,4,stod-copy,dom,direct,2801,4870,1090,1987,982,1881,4873,8826
14,4,fixed-ref,sax,direct,1981,3693,0,0,272,534,2241,4184
14,4,stod-ref,dom,direct,2962,5449,1127,2126,1040,2160,5138,9931
14,4,fixed-ref,dom,direct,3010,4713,362,586,1042,1714,4418,7225
14,4,fixed-ref,sax,copy,1831,2891,0,0,232,365,2070,3281
15,4,stod-copy,dom,direct,2588,4408,998,1814,899,1660,4488,7978
15,4,fixed-ref,sax,direct,1673,2480,0,0,216,312,1893,2842
15,4,stod-ref,dom,direct,2728,5726,1023,2141,955,2154,4708,10574
15,4,fixed-ref,dom,direct,2952,5075,358,762,1022,1921,4335,7801
15,4,fixed-ref,sax,copy,1857,3198,0,0,233,422,2097,3604
